Somali_homograph,Meaning_Index,Somali_definition
kas,3,Wax macnihiisa garasho.
kasbo,1,Bir af dhuuban oo lagu eego muunada badar jawaan ku jira; bunbay.
kasbo,2,Wax tacbasho.
kashif,1,meel aan asturneyn.
kashif,2,Wax la qariyey sheegid.
kashif,3,Cid fadeexo sameyn.
kawir,1,Burcad udgoon oo haweenku madaxa arafsadaan; hab gaar ah oo dumarku timaha u furtaan oo ambaystaan.
kawir,2,Meel u weecashada dooni ama markab
kayga,1,Magacuyaal lahaansho oo lab oo tilmaamaya wax anigu aan leeyahay. Tus. Midkan kayga ma ah.
kayga,2,Dibkabe lahaansho oo tilmaamaya wax anigu aan leeyahay. Tus. Dalkaygu waa hodan. 
kayn,1,"Nasiibdarro, ayaandarro, cawaxumo."
kayn,2,Meel dhir badan; hawd; jiq; toon.
kayn,3,"Eray lagu magacaabo dhul aan beernayn oo ay ka baxaan hoosbaxayaal isufan; mararka gaarkood waxaa loo adeegsadaa, iyadoo waxa la isku qanciyaa yaryihiin , inay yihiin kaymaha mansuunta nooc ahaantooda."
kee,1," Magacuyaal weyddiimeed oo lab oo iskii u taagan, oo wax ama qof lagu hubsado. tus.  Waa kee midka aaday xafiiska?."
kee,2,"Dibkabe weyddiimeed oo lab, oo wax ama qof lagu hubsado. Tus. Wiilkee baa kula hadlay?."
keeda,1,"Magacuyaal lahaansho oo dhaddig, oo tilmaamaya wax isagu ay leedahay. Tus.keedu wuxuu ka muuqdaa halkaas."
keeda,2,Dibkabe lahaansho oo tilmaamaya wax isagu ay leedahay. keed.
keen,1,Magacuyaal layeele ee tilmaamaya qofka koowaad ee wadarta ah oo kuwa lala hadlayaa ay ku jiraan. Tus. Cali baa isugu keen yeeray.
keen,2,Wax meel durugsan yaal meel dhow u soo qaadid.
keen,3,Cid wax u dhiibid.
keenna,1,Magacuyaal lahaansho oo lab oo tilmaamaya wax innagu aynu leennahay. Tus. Gurigiisa keenna ayaa ka dhow.
keenna,2,Dibkabe lahaansho oo tilmaamaya wax innagu aynu leennahay. Tus. Aan aadno gurigeenna. keen3.
keer,1,"Magacuyaal tilmaame oo lab, oo wax ama cid hadlaha ka fog yarana jaahiisa ka babcan lagu tilmaansado. Tus. Keer baa fariistay meeshaadii ee ka kici."
keer,2, Dibkabe tilmaame oo magac lab dib looga qodbo oo wax ama cid hadlaha ka fog yarana jaahiisa ka babcan lagu tilmaansado.
keli,1,Geed yar oo leh laamo wada buruqburuq ah oo aroorro leh oo dhirta daawada ka mid ah.
keli,2,"Oo   mid ah, aan la wehelin."
keli,3,Lidka wadarta gabdho ); eeg tiro.
keli,4,Wax aan la wehelin. kali. 
kelli,1,Biyomareen yar oo beeraha lagu waraabiyo. keli1 .
kelli,2,"Mid ka mid ah labada cad oo digirta qaabkeeda leh oo uurka ku jirta oo waxa oogadu raacdo iyo dhiigga kala soocda, oo kaadi ahaan dibadda uga soo saarta."
kelli,3,"Xubin muhim ah oo qashinsaarka u qaabilsan lafdhabarleyda, taas oo laga saaro walxo wasakh naytaroojiin ah . Naasleydu waxay leeyihiin lammaane kelya ah oo ku yaalla bucda."
kifaax,1,Hawl qabashadeeda ama wax hanashadooda u dagaallamid.
kifaax,2,Raaxaysasho.
kii,1,"kuwii, w Magacuyaal aan cayinnayn oo lab, oo cid ama wax la isla ogaa oo maqan oo aan magaciisa la sheegayn. Tus. Kanu waa kii beryahanba aan raadinayay: Kii baa yimid."
kii,2,"Qodob magac lab dib looga qodbo, kaasoo tilmaamaya waxay hadlaha iyo maqluhu isla ogyihiin. Tus. Ninkii baa yimid"
kiil,1,Beeg; miisaan; qiyaas; cabbir.
kiil,2,"Wax cabbirid, beegid."
kiil,3,Ciyaar turub bilaabid.
kiilo,1,Kun garaam culayskood; kiilogaraam.
kiilo,2,Wax cabbirasho; miisaamid.
kiilo,3,Ciyaar turub bilaabasho.
kiinna,1,Magacuyaal lahaansho oo tilmaamaya wax idinku aad leedihiin. Tus. Kiinna warkiisa iskaba daa!.
kiinna,2,Dibkabe lahaansho oo tilmaamaya wax idinku qofka labaad ee
kiis,1,Dacwad maxkamadeed.
kiis,2,Wax cidid.
kiis,3,Dad mag lagu leeyahay xoolo ka xereyn.
kiisa,1,"Magacuyaal lahaansho oo lab ah, oo tilmaamaya wax isagu uu leeyahay. Tus. Buuggaaga qaado kiisana meel u dhig."
kiisa,2,"Dibkabe lahaansho oo lab ah oo tilmaamaya wax isagu uu leeyahay. Tus. Aaway qalankiisa?. kiis3, ki, kii2."
kirkir,1,Raadka ay reebto mindi iwm oo aan af lahayn oo wax lagooyay. kirkirid.
kirkir,2,"Cudur bulshadeed ragga kaga dhaca guska oo inta hore gooya, lagana qaado galmada."
kirtan,1,Dhaqdhaqaaqa ay xooluhu sameyaan marka uu jirkoodu taabto waxaysan rabin. kirtamid.
kirtan,2,Xoolo jirkooda waxaysan rabin taabteen kadaalliyid.
kol,1," Waqti, jeer; mar. Tus. Cali kol baan arkay."
kol,2, mar walba.
kol,3,"haddaba, sidaas darteed."
kol,4,erey lagu xiriiriyo weer waqtiley ah. Tus. Kolka ueelu oomo ayuu olol badnaadaa.
kolkol,1,Waqtiyo kala durugsan; marmar.
kolkol,2,Kolay lagu sameeyo in dharka duubayo.
koob,1,Weel yar oo badanaa dheg leh oo wax lagabbo; fijaan.
koob,2,"Qalab ka samaysan dahab, qalin iwm oo lagu kala qaato tartamada cayaaraha."
koob,3,Wax dham maantood wada marid ama wada aqoon.
kooban,1,Wax la koobay ahaansho.
kooban,2,Ka  wax dhawr shey isugu jira ahaansho.
kood,1,Lafaha gebiga ah oo indhaha ka korreeya oo sunnayaashu ku yaalliin midkood.
kood,2,Hadal hoos laysugu sheego
kood,3,dhul siman meel ka yare sarreeya
kood,4,neef bayr leh oo aan la qabin karin 
kood,5,xodxodasho
kooda,1,Magacuyaal lahaansho oo tilmaamaya wax iyagu ay leeyihiin. Tus. Kooda ayaa ka wanaagsan kiinna.
kooda,2,Dibkabe lahaansho oo tilmaamaya wax iyagu ay leeyihiin. Tus. Macallinkooda ayay la tashadaeen. kood2.
koor,1,"Dhar adag oo culus oo raggu qaarka sare ka qaataan oo dhaxanta laga geshado, laguna xarragoodo; jubbad. koodh."
koor,2,Dawan geed laga qorey oo xoolaha qoorta loogu xiro.
koor,3,"Ciyaar turub , nin inuu wada qabto turubka oo dhan ballan qaadid."
koor,4,Koorabixis adeegsasho.
kor,1,Meel sare; dul.
kor,2,"Wada jirka xubnaha nafleyda, madax, gacmo, lugo iwm; oogo; jir."
kor,3,Nafley markii fil ku kordhaba weynaan iyo dherer yeelasho.
koror,1,"Inta, wax ku darsanta."
koror,2,Isbeddel togan ama taban ee ku dhaca doorsoome. Koror guud ahaan waxaa loo isticmaalaa micno ahaan isbeddel yar.
korsaar,1,Wax la iibinayo faa'iidada laga helo.
korsaar,2,Dhinacdhow.
korsaar,3,Sahay yar oo awrta rarkeeda dheeraad ku ah.
korsaar,4,Raar aqalka miyiga dhalada laga saaro; dhalosaar.
korsaar,5,sidiq.
korsaar,6,"Wax, wax kale ka kor marin."
ku,1,"Magacuyaal layeele oo tilmaama qofka labaad ee kelida ah, oo lala hadlayo."
ku,2,Magacuyaal aan cayinnayn oo lab ah oo cid ama wax maqan tilmaamaya. Tus.  Maanta ku aan isku fasal ahayn baan arkay.
ku,3,Qurub la isticmaalo falka bidixdiisa: a) qurub la xiriira wax ama meel gudohooda fal uu ka dhacayo. Tus. Biyaha weelka ayay ku jiraan; b) qurub la xiriira
kud,1,Cudur dadka iyo xoolahaba ku dhaca oo badanaa aan laga kicin.
kud,2,Gammaan is abaahin.
kud,3,Orod bootin ku bilaabid.
kudaal,1,Baxsi.
kudaal,2,Dhicidda xoolo fardo lagu dhaco.
kudaal,3,Faras aan la lahayn lala cararo.
kuf,1,"isu qalmidda ay isu qalmaan laba qof xagga guurka, iyadoo laga eegayo dhinacyo badan sida: dhalasho, xirfo, caafimaad iwm; geyaan."
kuf,2,Nafley socota horay u dhicid.
kuhaan,1,Habaar.
kuhaan,2,Qof gabayga ku habaarrama.
kur,1,Madax; unuun.
kur,2,Duco iyo Allabari dumarka uurka lihi sameeyaan kolka sidkoodu dhammaad ku dhow dahay; kuraysi; madaxshub; sagaalaysi; tararaysi.
kur,3,Wax si siman goyn.
kuul,1,"Iniinyo kulkulucsan oo dhalo iwm ka sameysan, dhexdana ka daloola oo inta dun lagu taxo qoorta haweenku ku xirtaan, si ay ugu xarragoodaan."
kuul,2,Khad madow indho marin.
kuur,1,Kaabi; ag; cimil.
kuur,2,"Cid cabsiin, indho kubid."
kuurgal,1,qof u kuurgalaya.
kuurgal,2,wax si aad ah ugu dhabbagelid.
kuus,1,Wax buuran ama qaab kankoonsan leh.
kuus,2,lacag  lacag badan oo wax qiimo leh goysa.
kuus,3,Wax badan meel yar isugu keenid.
kuusan,1,Wax qaab kankoonsan leh noqosho.
kuusan,2,Wax meel laysugu keenay noqosho.
la,1,Magacuyaal tilmaamaya in faluhu uu yahay qof aan la aqoon ama aan la caddaynin. Tus. Waa la yiri.
la,2,"Qurub lagu isticmaalo falka bidixdiisa oo tilmaamaya wehelin ama wax wada qabsi. Tus. Cali buu la socdaa, Wuu ila shaqeeyaa, Kursigaan la tag!."
laab,1,Calaamadda uu reebo shay fidsan oo laysoo rogey.
laab,2,Meel leexsan; luuq.
laab,3,"Qallooc ku dhacay lakabyo dhadhaabeed, oo ay keeneen dhaqdhaqaaqyo ku dhacay oogada dhulka."
laab,4,Jirka dadka soo jeedka inta u dexeysa luqunta iyo caloosha; xabad.
laablaab,1,Xeelad dan lagu fushanayo.
laablaab,2,Wax fidsanaa duudduubid.
laablaab,3,Arrin aan fuliddeeda la rabin ka warwareegid. laallaab2.
laac,1,Muuqaalka guud ee geedaha cagaaran.
laac,2,Gacan fidsan wax ku tiigsasho.
laac,3," cunto, cabbitaan iwm degdeg u dhammaysasho."
laaf,1,"Dhadhaab dhalaashan ama magma oo ka soo burqanaysa dhulka gudihiisa oo soo gaarta dhulka dushiisa, taas oo ka soo baxda karaytarka folkaanaha ama jeexjeex dhulka dushiisa ah. Dhulka dushiisa laafadu si dhaqso leh ayay ugu adkaataa marka loo eego dhaqsaha adkaashadeeda ee dhulka gudihiisa."
laaf,2,qof aan ka dhergin galmada qof kale.
laag,1,Fac; asaag; mataan.
laag,2,Togagga iyo webiyadu meesha ay badda uga darmaan.
laag,3,"Laag webi ama durdur oo ku biirisa biyaheeda webi weyn, isagoo kaga biyo daraya labada dhinac ama bar marinkiisa ka mid ah."
laal,1,Ciyaar laba kooxood loo ciyaaro oo ku dhisan orod iyo isaseemid. lool1.
laal,2,Wax meel kore saarid.
laal,3,Sharci ama xeer hore u jirey tirtirid.
laalac,1,Lalmashada wax meel sare ka lalmadaan.
laalac,2,Wax meel sare ka lalmasho.
laalacshow,1,"Meel sare inta gacmaha lagu qabsado oo la iska soo laalaadiyo . laalacshoobid, laalacshoon1."
laalacshow,2,"Ciyaar jimicsi ku dhisan, meel sare inta gacmaha lagu qabsado iska soo laalaadin. laalacshoon2."
laalan,1,Wax meel kore saaran noqosho.
laalan,2,Arrin aan go'aan laga gaarin ahaansho.
laalan,3,Sharci wax la baaba'shey ahaansho.
laan,1,Xubinta taranka ee haweenka.
laan,2,Faraca ka soo baxa jirridda geedka.
laan,3,Qayb ka soo farcanta waax hay'adeed.
laan,4,Qori af buuran oo badarka la karinayo lagu waalaqo.
laashin,1,Qof maansada tiriya.
laashin,2,Laba laamood oo mataano ah middood.
laasin,1,Nooc ka mid ah siyaaqadda ay dumarku qaataan oo ka samaysan dahab ama lacag.
laasin,2,Raatibka tusbaxa.
laasin,3,laasim
laasin,4,Wax caado ka dhigasho.
laasin,5,Meel muddo badan joogid.
lab,1,"Labada jaad ee nafleydu u kala baxdo, midka aan uurka yeelan; labood, rag."
lab,2,Wax isku qasid.
lab,3,Wax adag ahaansho.
labaatanaad,1,Sanadaha u dhexeeya labaatan ilaa soddon.
labaatanaad,2,"Tirada jagaale, keeda labaatanka u dhigma. labaatamaad."
labajibbaar,1,"Tiro, tiro la eg lagu dhuftay."
labajibbaar,2,Isku laabidda xarig laba jeer laysku laabo.
laballaab,1,tiro lagu daray tiro la eg.
laballaab,2,Wax lagu xoojiyay wax la mid ah. 
laballabo,1,Wax laballabo isugu lammaan.
laballabo,2,Laba arrimood oo gudboon oo la kala dooran waayo.
laballabo,3,Tirooyin badan oo middiiba labo ka koobantahay.
laballis,1,laballisid. Lisidda neef irmaan laba qof mar wada lisaan.
laballis,2,caano laba caanamaal oo laysku daray ah.
laballis,3,Laba qof si xoog iyo dhaqso leh neef irmaan u lisid.
labashub,1,labashubid. Ka soo saaridda laba qof ay si darandoori ah ceel biyo uga soo saaraan.
labashub,2,"ceel biyo badan, gaaban oo laba qof ay shubi karaan."
labashub,3,Laba qof ceel biyo kaga soo saarid.
labbis,1,Dhar lagu xarragoodo.
labbis,2,Dhar gaar ah oo lagu yaqaano ciidamada
labbis,3,Qof dhar xirasho.
labeeb,1,Nafley astaamihii dheddigga iyo labkaba leh.
labeeb,2,"Xayawaan ama geed ubaxley ah oo xubnaha taranka ee dheddigga iyo labkaba leh. labeebshe, labeebyo."
labeeb,3,Nafley labeeb ka yeelid.
labo,1,Tirada kowda iyo saddexda u dhexeysa; 2.
labo,2,Labadaba. Tus. Labadaba way fiicanyihiin.
labo,3,Wax qasasho. labood  Nafley inta labka ah ee aan dheddig
laciif,1,qof aad u tabar daran.
laciif,2,Nafley tabaryarayn.
lafaggur,1,Bixinta meel jabtay lafaha laga bixiyo.
lafaggur,2,Ka baaraandegga arrin iwm lagu sameeyo. lafaggurid.
lafaggur,3,Meel lafi ka jabtay burbur ka bixin.
lafaggur,4,"Timir, hilib iwm lafo ka gurid."
lafaggur,5,Arrin ka baaraandeggid.
lafdhabar,1,Xiriir lafo ah oo ka kooban riciro yaryar oo ishaysta oo isku xira tunka iyo dabagibinta.
lafdhabar,2,Wax kasta qaybta ugu muhimsan.
lafdhabar,3,"Xiriirka lafaha dhabarka oo ka bilowda salka lafta madaxa kuna dhammaada dabaggibinta. Waxay ka koobantahay 33 lafood waxaana dhex mara xangullaha, waxay isgoys xubneed la wadaagaan lafta madaxa, feeraha iyo miskaha; waxayna u kala baxaan 7 surka, 12 sabalayda, 5 dhabarka hoose, 5 araxda iyo 4 dabaggibinta."
lakab,1,In ishaysato oo fidsan oo isku qira ah; baal; dabool.
lakab,2,Ilig agtiisa ilig kale ka soo baxo.
lakab,3,"Ha badnaado hase yaraadee waa lakab gooni ah oo dhadhaabeed, oo ka mid ah rasooyinka dhulka oogadiisa."
lammaan,1,"Marka la sharraxayo bu'da, unug ama noole leh labanlaabka tiro dhiman oo koromosooma ah ee astaanta sinjiyada."
lammaan,2,Nafley laba isdhashay wax meel ku wada sugan ahaansho.
laqan,1,Nin dhalinyaro ah oo qas badan.
laqan,2,Da' yaraan ku dhimasho.lqamo
layn,1,Xarriiq toosan oo meel alaamadaysan.
layn,2,Saf.
laystaan,1,nin dhibaato iyo waxyeello badan leh.
laystaan,2,Waxyeello badan oo cidi geysato.
leber,1,Waxar markaas habarteed ka gurtay.
leber,2,Cabbir wax lagabbiro oo u dhigma rubuc jawaan.
leber,3,Wax lix iyo toban meelood loo qaybiyey meeshood.
leber,4,Sinta dadka ee ilmaha la saaro.
leeb,1,Ul yar oo dhuuban oo afka bir fiiqani kaga jirto oo qaansada laga gano; gamuun.
leeb,2,Teed kasta oo tiro ah lehna hal dhinac u tax ama hal joog u tax. leebraac Wax niyadda ka
leelleeltir,1,Xoolo ama wax kale oo qof hawlgab ah ama ciidan waxyeelloobay abaal gud ahaan loo siiyo.
leelleeltir,2,Cid masiibo ku dhacday wax siin.
leexo,1,Dabayl dhacda oo cirka u kacda.
leexo,2,Ciyaar xarig geedo isu dhow labadiisa dacal lagu kala xiro oo carruurtu fuusho iskuna ruxaan.
leexo,3,Qallooc gala kurus geel.
leexo,4,Jid lagu socday ka weecasho.
lid,1,wax aan wax kale la mid ahayn oo dabeecadda kaga duwan. Tus. Mugdiga ayaa caddada lid ku ah.
lid,2,"Labo erey oo mataana ah oo micnahoodu iska soo horjeedo sida: dheer/gaab, weyn/yar iwm; cagsi."
lifaaq,1,Dun yar oo cirbad dulkeed ku jirta.
lifaaq,2,Dokominti la dirayo warqad la raaciyo oo sii kaabaysa dulucda.
lifaaq,3,"Qurub lagu kaabo erey salkiisa, si uu u beddelo qiimaha iyo waxqabadka ereygaas; lifaaqyadu waxay u kala baxaan: horkabe , dibkabe ereyga"
lifaaq,4,Cirbad dulkeed dun gelin.
lifaaq,5,Maro iwm mid kale ku tolid.
liglig,1,Saabka weelasha loo sameeyo ganaha ka soo taagtaagan.
liglig,2,Qoryo iswaydaarsan oo qumbaha afkiisa lagu sameeyo.
liglig,3,"Ruxruxid, dhaqdhaqaajin."
liid,1,qof jilicsan oo tabar yar.
liid,2,Cid quursasho; yasid. liidaanyeysan Qof wax
liif,1,Xashiish jilicsan oo ka hara alwaaxda la qoro.
liif,2,Dhagax xalleefsan oo lagu luufo.
liif,3,Qaynbaar.
liif,4,"Sooloji ahaan, dhisme timaha oo kale ah oo dheer, sida tifafka yar yar ee baalasha shimbiraha."
liif,5,Liif ciyaarid.
liinbax,1,Mayrmidda dhar iwm midabkoodu mayrmo marka biyo la geliyo. dhiinbax1.
liinbax,2,Dhar iwm midabkooda dhaqmid marka biyo la geliyo. dhiinbax2.
lisan,1,Xoolo irmaan wax la lisay ahaansho.
lisan,2,Mindi wax af loo yeelay ahaansho.
lixaad,1,"Tirada jagaale, keeda u dhigma lixda. laxaad."
lixaad,2,"Xoog, itaal."
lixaad,3,Baaxad.
lixaad,4,"Lixda l indhaha, lugaha iyo gacmaha."
lixdanaad,1,Sanadaha u dhexeeya lixdanka ilaa lixdan iyo sagaalka.
lixdanaad,2,"Tirada jagaale, kan lixdanka u dhigma. lixdamaad."
lool,1,Jaad ka mid ah dhigaha aqalada miyiga lagu dhiso.
lool,2,Dhagax mindiyaha iwm lagu afeeyo.
lool,3,Xarriiq dhulka gudub ooysa oo la siman dhulbaraha.
lool,4,"Xarriiq dhigeed ama barka goobooyinka waaweyn midkood, goobooyinkaas oo mara cirifyada, badhahana"
lool,5,Awr si aan toos ahayn awr kale mici ugu dhufasho.
luf,1,Cad yar oo wax dhammaaday ka soo haray.
luf,2,Wax yar uruurin.
lugduub,1,Fuulidda faras si deg deg ah loo fuulo.
lugduub,2,Si habaysan oo lugaha loo rogrogo marka ciyaar la tumayo. lugduubid.
lugqaad,1,Kor u qaadidda lug kor loo qaado inta la maalayo rida.
lugqaad,2, cid socod la billaabid.
lul,1,Wax jilicsan oo dabka la shidayo marka hore lagu huriyo.
lul,2,Wax ruxid.
lul,3,Wax meel ka soo lalmin.
lullume,1,Kalluun aad u yaryar oo biyaha macaan ku nool.
lullume,2,Cayayaan yaryar oo biyaha macaan ka dhasha; miraxareedeed. lullumo.
lullume,3,"Heerka caydiga ee raha. Wuxuu leeyahay dabo dheer iyo waafyo. Lulumadu heerka caydiga oo dhan waxay ku nooshahay biyaha. Lugaha dambe ayaa ka hor kora lugaha hore, aakhirkana dabada ayaa ka go'da inta aanu noqon rah qaangaadh ah."
lun,1,Meel dhoobo qoyan oo jilicsan leh oo marka cagta la saaro hoos ula degta.
lun,2,God marka beeraha la abuurayo miraha lagu duugo.3. God hoos u dheer.
lun,3,Wax dhumay noqosho.
luudi,1,Kal yar oo bir ah oo lagu tumo geedaha shaaha lagu darsado iyo bunka.
luudi,2,Wax tartiib u wadid; si tabar yar u socodsiin .
luufluuf,1,Wax ka soo hara wax dhammaaday ama kala jajabay.
luufluuf,2,Weel iwm dildillaacid.
luufluuf,3,Wax baabi'id.
luun,1,Dhudda uu ku taaganyahay geed meseggo ama gallay.
luun,2,Tib xoog leh oo sabuulka meseggada lagu shukulo.
luuq,1,Wadiiqo yar oo aad ciriiri u ah hareerahana guryo ka xigaan.
luuq,2,Cod gaar ah oo gabayada iyo heesaha lagu qaado; cod lagu dheeraysto oo laga xareediyo.
luuq,4,Weer qaybaheeda kala leh luuq kala duwan.
luusluus,1,Liqid la liqo cunto iyadoo aan la ruugin.
luusluus,2,qof waayeel ah oo tallaabada iyo waxqabdkuba dhibaan.
luusluus,3,Cunto iwm iyadoo aan la calalin liqid.
ma,1,Qurub tilmaamaya in weerta falkeeda uu yahay fal diidmo. Tus. Cali ma imaanayo.
ma,2,"Qurub tilmaama in ay su'aali saaran tahay ereyga uu weheliyo. Tus. Cali ma yimid?, Ma Cali baa yimid?, Ma waxaa yimid Cali?, Ma waad imaanaysaa?."
ma,3,Mase: ama. mise.
maaddi,1," qof lacagta, xoolaha aad u jecel oo dantiisa wax kasta ka hormariya."
maaddi,2,tibix la cabbiri karo ama qiimaheeda xisaabeed la soo saari karo.
maag,1,Daandaansi; gardarro; abyood.
maag,2,Qof gardarraysasho.
maag,3,Doonid ama damcid.
maag,4,"Xad, xuduud."
maag,5,Wax cabsi dartii uga dheeraansho. maagasho m.f.dh eeg maago.
maajeen,1,Midab guduud boor xigeen ah oo ay lo'du yeelato.
maajeen,2,Naq badan.
maal,1,Hanti.
maal,2,maashi. Neef irmaan oo cid la ammaanaysiiyo si uu u intifaacsado.
maal,3,maalid.
maal,4,Malax.
maal,5,Neef irmaan caano ka lisid.
maammul,1,Habka hawl loo fuliyo.
maammul,2,Hawl hab wanaagsan u fulin. 
maammul,3,", maamul1, maamulid. maammulnaan m.f.dh eeg maamulan."
maan,1,Awoodda garashada ee qof leeyahay.
maan,2,Maalinta la joogo.
maan,3,beriga.
maan,4,maalinta oo idil.
maan,5,saddexaad: maalintii saddexaad.
maan,6, hore: maalmihii la soo dhaafay. maantay.
maanyo,1,"Nooc ka mid ah mariidka oo laga isticmaalo xeebta iyo Jubbada hoose, waxaa laga sameeyaa dhecaan geed; qubley, manyiikay, libin, waaray."
maanyo,2,Bad.
maanyo,3,Hees ay dabatadu ugaarta asabato.
maanyo,4,Nooc dhirta ka mid ah oo ay xawayaanku nafaqo ka helaan marka ay cunaan.
maar,1,Lakaybo isdul saar saaran.
maar,2,Afarta meesi ee xoolaha midkood.
maar,3,"Macdan cawlan, jilicsan, oo lacagta iyo alaabooyin kale laga sameeyo."
maaro,1,Tab mushkilad lagu xalliyo.
maaro,2,Awood; karti; tamar.
maaro,3,Jid khatar ah.
maaro,4,maado. 
maarso,1,Bisha saddexaad ee sannadka miilaadiga ah.
maarso,2, arrin falkeeda ka cabsasho; biqid.
maarso,3, wax fursasho.
mac,1,Dhadhan wanaagsan oo dhuuni leeyahay.
mac,2,"Neef aan caato ahayn, baruur badanna lahayn; l"
mac,3,Dhunkasho .
mac,4,Wax macaan ahaansho.
mac,5,Cano dhay eh ahaansho.
macaan,1,"Dhadhanka sonkorta, malabka, xalwada iwm."
macaan,2,Dhadhan kasta oo carrabku jeclaysto.
macaan,3,"eeg mac2. macaansho, maci."
macaan,4,Qof aad u dabci wanaagsan ahaansho.
mad,1,Dhagax midab madow leh oo haddii la isku dhufto dab dhala oo buuraleyda laga helo.
mad,2,Jiididda la jiido shaqal af carabi ah marka lagu dhawaaqayo. med1.
mad,3,Qof dhagax la dhicid.
madaar,1,Gadgaddoonka iyo taaha uu qof buka sameeyo xanuun awgiis.
madaar,2,Cida ay sameeyaan xoolo ilmohooda u soo insaarixinaya.
madaar,3,"Qof buka, xanuun awgiis taah iyo gadgaddoon samayn."
madal,1,Meel dad badani isugu yimid.
madal,2,Qof ballamid.
madaxtus,1,Tegidda la tago meel hawl laga hayo iyadoo aan la doonayn in laga qayb qaato.
madaxtus,2,Kormeer aan toos ahayn oo cid hawl haysa lagu sameeyo. madaxtusid.
madaxtus,3,"Meel hawl laga hayo,iyadoo aan la doonayn in laga qayb galo, tegid."
madi,1,Nin aan lahayn walaalo rag ah.
madi,2,Gabar aan lahayn walaalo.
madi,3,Neef xoolo ah oo caano badan leh.
madiix,1,Gabay ama hees cid aad loogu ammaano.
madmad,1,Hilib qurmay oo googo'ay.
madmad,2,Wax qurmay oo googo'ay noqosho .
madmad,3,Wax aad loo karshay noqosho .
madmad,4,Wax gaboobay oo googo'ay noqosho .
madow,1,Midibka dhuxusha.
madow,2,"Mugdi, gudcur. madoow1."
madow,3,Wax midibka dhuxusha oo kale leh ahaansho.
madow,4,Wax mugdi ah ahaansho .
madow,5,Qof uurkutaaleysan ahaansho. madoow2.
magaag,1,Jirro dadka ku dhacda oo ka timaaddo nafaqo xoolaad la'aan.
magaag,2, faras aan la jarabarin.
magaag,3,Nafaqo xoolaad la'aan darteed la jirrasho.
magaag,4,laf feenasho.
magac,1,"Erey qof, meel ama wax gaar ahaan loo yaqaan oo loogu yeero."
magac,2,"Qaybaha hadalka mid ka mid ah, oo tilmaama wax nool , wax aan noolayn iyo waxyaabo kale. M. caadyaal: wuxuu tilmaama waxyaabo la taaban karo ; m. cillaneed: wuxuu tilmaama shay leh tayo aanay dareemi karin shanta dareemayaal ; m. gaar: magac si gaar ah u"
magacow,1,Qof magiciisa oo loogu yeero.
magacow,2,Qof darajo iyo madaxnimo lagu meeleeyo.
mahabe,1,Weel aan biyaha ka dusaynin.
mahabe,2,Ciid aan si fudud biyaha u dhuuqayn.
mahabe,3,Dhadhaabaha aan shirqadaha lahayn oo aan biyaha gudbin: tusaale ahaan dhadhaabahaasi biyaha roobka uma oggolaanayaan inay dhex galaan oo ay ka dusaan.
majiir,1,Dib elinta wax ama arrin soconayey gadaal loo celiyo.
majiir,2,Wax jahada uu u socday ka weecin.
majiir,3,Maro qoyan majuujin si biyuhu ugu daataan.
majiir,4, wax socda dhankii uu ka yimid isla markiiba ku noqosho.
majiir,5,Isku m meel ciriiri ah xoog ku dhexmarid.
majin,1,"Xanuun cunaha ku dhaca oo qof liqitaanka ku dhiba cunahana barariya mararka qaarkood. majinow, majimow."
majin,2,Xubin ka mid ah addimada xoolaha oo u dhexeysa jilibka iyo qoobka.
majin,3,Xirmooyin yaryar oo loo qeybshay marduuf qaad ah middood.
makal,1,Khatar weyn.
makal,2,Nafley waxyeelo weyn gaarsiin.
makhoor,1,Hab doonyaha shiraaca leh u socdaan marka ay aadayaan jihada ay dabayshu ka imaaneyso iyagoo hadba dhan isu dadbaya.
makhoor,2,Doon shiraac leh aadid dhanka dabaysha ka imaaneyso iyadoo hadba dhan isu dadbeysa. mokhoor2.
mal,1,Saxaro jilicsan oo dhasha yaryar oo caano ku noolka ahi dhigaan.
mal,2,Cudur kala goysyada ku dhaca oo kuuduudiya.
mal,3,Cudur dhasha geela ku dhaca oo kuduudiya.
mal,4,Dhal yar oo caana ku nool ahi mal dhigid.
malag,1,"Mid ka mid ah uunka, oo laga abuuray nuur iyo iftiin."
malag,2,"Nafley, nafta ka qaadid."
malag,3,Nafley dhimashadeeda sabab u noqosho. meleg2.
malkad,1,Kal yar oo wax lagu tumo.
malkad,2,Nooc ka mid ah qalabka muusikada oo la afuufo badanaana loo isticmaalo xafladda istunka.
manjasaar,1,"Qaabka loogu fariisiyo ilmo saxaroonayo ama kaadshaya iyaga oo labada lugood la dul saarayo. majasaar1, mijasaar1, minjasaar1."
manjasaar,2,"Ilmo saxaroonayo ama kaadshayo lugo saarid. majasaar2, mijasaar2, minjasaar2."
maqaarsaar,1,Saaridda hal ama sac ilmo ka dhintay maqaarkiisa loo saaro ilmo kale si ay ugodlato.
maqaarsaar,2,M.  qof waxa uu u magacaabanyahay aan awood u lahayn.
maqal,1,Awood dheguhu wax ku dareemaan.
maqal,2,"maaqal Khaanad amaysan armaajo, miis iwm oo wax lagu rito."
maqal,3,Dixiri yaryar oo digada xoolaha ka dhasha; maqli.
maqal,4,Ubadka ariga.
